model,alert_level,direction,timestamp,current_price
Alert2,250,Above,2025-01-05 19:23:00,98021.8
Alert2,250,Above,2025-01-05 16:10:00,98180.1
Alert2,250,Below,2025-01-05 14:17:00,97315.6
Alert2,250,Below,2025-01-05 10:18:00,97650.0
Alert2,500,Below,2025-01-05 08:29:00,97826.7
Alert2,250,Below,2025-01-05 08:13:00,97900.1
Alert2,250,Above,2025-01-05 04:29:00,98432.6
Alert2,250,Above,2025-01-04 22:03:00,98323.2
Alert2,500,Above,2025-01-04 20:40:00,98465.1
Alert2,250,Above,2025-01-04 20:32:00,98406.6
Alert2,250,Above,2025-01-04 20:01:00,98390.0
Alert2,250,Above,2025-01-04 19:16:00,98129.8
Alert2,250,Below,2025-01-04 16:33:00,97661.9
Alert2,250,Below,2025-01-04 15:38:00,97589.5
Alert2,250,Below,2025-01-04 10:15:00,97636.9
Alert2,250,Below,2025-01-04 09:45:00,97757.6
Alert2,250,Above,2025-01-04 03:03:00,98230.1
Alert2,500,Above,2025-01-03 20:38:00,98550.1
Alert2,250,Above,2025-01-03 20:02:00,98500.1
Alert2,750,Above,2025-01-03 19:15:00,98829.7
Alert2,500,Above,2025-01-03 18:32:00,98345.4
Alert2,250,Above,2025-01-03 18:24:00,98249.9
Alert2,1250,Above,2025-01-03 16:24:00,98220.2
Alert4,1250,Above,2025-01-03 16:24:00,98220.2
Alert2,1000,Above,2025-01-03 16:23:00,97953.0
Alert4,1000,Above,2025-01-03 16:07:00,97442.1
Alert2,750,Above,2025-01-03 15:11:00,97294.2
Alert4,750,Above,2025-01-03 15:11:00,97294.2
Alert2,500,Above,2025-01-03 14:40:00,97173.6
Alert4,500,Above,2025-01-03 14:40:00,97173.6
Alert2,250,Above,2025-01-03 14:26:00,96992.1
Alert4,250,Above,2025-01-03 14:25:00,96925.0
Alert2,500,Below,2025-01-03 08:40:00,96127.7
Alert4,250,Below,2025-01-03 07:27:00,96372.0
Alert2,250,Below,2025-01-03 06:58:00,96500.1
Alert4,250,Below,2025-01-03 05:32:00,96562.8
Alert2,250,Below,2025-01-03 05:12:00,96599.9
Alert2,250,Above,2025-01-03 02:21:00,97162.9
Alert2,1000,Above,2025-01-02 19:28:00,97597.3
Alert4,1000,Above,2025-01-02 19:26:00,97571.8
Alert4,750,Above,2025-01-02 19:19:00,97441.3
Alert2,750,Above,2025-01-02 19:10:00,97429.9
Alert2,500,Above,2025-01-02 19:08:00,97355.5
Alert4,500,Above,2025-01-02 19:07:00,97349.6
Alert2,250,Above,2025-01-02 19:04:00,97100.0
Alert4,250,Above,2025-01-02 19:03:00,97100.0
Alert4,250,Above,2025-01-02 17:46:00,96569.9
Alert4,1000,Above,2025-01-02 17:15:00,97432.3
Alert2,1000,Above,2025-01-02 17:13:00,97288.0
Alert4,750,Above,2025-01-02 16:41:00,97488.5
Alert2,750,Above,2025-01-02 16:37:00,97435.1
Alert4,500,Above,2025-01-02 16:27:00,97245.0
Alert2,500,Above,2025-01-02 16:27:00,97245.0
Alert4,250,Above,2025-01-02 15:52:00,96408.0
Alert2,250,Above,2025-01-02 15:31:00,96545.0
